연도,수량,연료,차종별
2015,"1,599,561",휘발유,승용차
2015,"652,373",경유,승용차
2015,"271,852",LPG,승용차
2015,"1,139",전기,승용차
2015,780,CNG,승용차
2015,"33,896",하이브리드,승용차
2015,1,수소,승용차
2015,552,기타,승용차
2016,"1,593,968",휘발유,승용차
2016,"697,496",경유,승용차
2016,"259,417",LPG,승용차
2016,"1,484",전기,승용차
2016,678,CNG,승용차
2016,"44,823",하이브리드,승용차
2016,12,수소,승용차
2016,466,기타,승용차
2017,"1,597,418",휘발유,승용차
2017,"728,314",경유,승용차
2017,"250,286",LPG,승용차
2017,"4,775",전기,승용차
2017,617,CNG,승용차
2017,"59,379",하이브리드,승용차
2017,13,수소,승용차
2017,388,기타,승용차
2018,"1,589,567",휘발유,승용차
2018,"744,280",경유,승용차
2018,"239,192",LPG,승용차
2018,"9,507",전기,승용차
2018,597,CNG,승용차
2018,"75,126",하이브리드,승용차
2018,83,수소,승용차
2018,285,기타,승용차
2019,"1,604,962",휘발유,승용차
2019,"727,757",경유,승용차
2019,"231,089",LPG,승용차
2019,"14,232",전기,승용차
2019,510,CNG,승용차
2019,"91,453",하이브리드,승용차
2019,597,수소,승용차
2019,203,기타,승용차
2020,"1,631,306",휘발유,승용차
2020,"722,122",경유,승용차
2020,"220,302",LPG,승용차
2020,"20,763",전기,승용차
2020,435,CNG,승용차
2020,"115,228",하이브리드,승용차
2020,"1,662",수소,승용차
2020,166,기타,승용차
2021,"1,642,186",휘발유,승용차
2021,"708,501",경유,승용차
2021,"209,333",LPG,승용차
2021,"35,227",전기,승용차
2021,384,CNG,승용차
2021,"141,832",하이브리드,승용차
2021,"2,436",수소,승용차
2021,145,기타,승용차
2022,"1,649,883",휘발유,승용차
2022,"689,717",경유,승용차
2022,"200,323",LPG,승용차
2022,"50,768",전기,승용차
2022,314,CNG,승용차
2022,"169,702",하이브리드,승용차
2022,"2,884",수소,승용차
2022,139,기타,승용차
2023,"1,654,223",휘발유,승용차
2023,"657,067",경유,승용차
2023,"190,100",LPG,승용차
2023,"61,304",전기,승용차
2023,237,CNG,승용차
2023,"209,947",하이브리드,승용차
2023,"3,110",수소,승용차
2023,128,기타,승용차
2024,"1,638,268",휘발유,승용차
2024,"619,097",경유,승용차
2024,"180,620",LPG,승용차
2024,"71,005",전기,승용차
2024,184,CNG,승용차
2024,"262,346",하이브리드,승용차
2024,"3,165",수소,승용차
2024,120,기타,승용차
2015,"1,297",휘발유,승합차
2015,"103,043",경유,승합차
2015,"28,160",LPG,승합차
2015,10,전기,승합차
